70000_a,fillSnooper
178585_h,stopCompileTask
178603_a,getNeighborIndexAtFace
178604_a,floodFill
178605_a,getIndex
178606_a,setOpaqueCube
178607_a,computeVisibility
178608_c,getIndex
178609_b,getVisibleFacings
178610_a,addEdges
178618_a,setAllVisible
178619_a,setVisible
178620_a,setManyVisible
178621_a,isVisible
178629_b,setDebugBoundingBox
178633_a,setRenderShadow
178634_b,isDebugBoundingBox
178641_d,exit
178642_a,getItems
178643_a,getItem
178644_b,selectSlot
178645_b,getSelectedItem
178646_f,getCurrentPage
178647_a,selectCategory
178648_e,getSelectedSlot
178650_c,getSelectedCategory
178661_a,selectItem
178662_A_,isEnabled
178664_z_,getSpectatorName
178669_a,getItems
178670_b,getPrompt
178680_a,getObject
178681_b,getSelectedSlot
178691_a,setRotationOffset
178719_a,setVisible
178770_i,getNameTagVisibility
178771_j,getDeathMessageVisibility
178772_a,setNameTagVisibility
178773_b,setDeathMessageVisibility
178774_a,setColor
178775_l,getColor
178785_b,rotateYaw
178786_a,subtract
178787_e,add
178788_d,subtract
178789_a,rotatePitch
178790_c,getRenderType
178815_a,setLocked
178816_g,isLocked
178819_b,entityHasObjective
178820_a,onPlayerScoreRemoved
178821_h,getDisplaySlotStrings
178822_d,removeObjectiveFromEntity
178824_a,getByName
178835_l,getLastHealth
178836_b,setLastHealth
178837_g,getLocationSkin
178838_a,setResponseTime
178839_a,setGameType
178841_j,loadPlayerTextures
178843_c,setRenderVisibilityId
178844_b,setHealthBlinkTime
178845_a,getGameProfile
178846_a,setLastHealthTime
178847_n,getLastHealthTime
178848_b,getGameType
178850_i,getPlayerTeam
178851_f,getSkinType
178853_c,getResponseTime
178854_k,getDisplayName
178855_p,getRenderVisibilityId
178856_e,hasLocationSkin
178857_c,setDisplayHealth
178858_o,getHealthBlinkTime
178859_a,setDisplayName
178860_m,getDisplayHealth
178861_h,getLocationCape
178876_d,getModelParts
178877_a,switchModelPartEnabled
178878_a,setModelPartEnabled
178887_k,isSpectatorMode
178889_l,getCurrentGameType
178893_a,isHittingPosition
178910_a,getX
178912_b,getY
178923_d,tickParticle
178930_c,registerFactories
178965_a,reset
178977_d,finishDrawing
178993_a,setVertexState
179025_a,getVertexInformation
179027_a,getFacing
179198_a,disable
179199_a,setEnabled
179200_b,enable
179215_a,updateItemStackNBT
179218_a,onBlockDestroyed
179221_a,applyRandomRotations
179223_d,getBlock
179224_a,setTileEntityNBT
179230_h,getGeneration
179244_a,getPacket
179246_a,getPacketId
179249_a,writeEnumValue
179250_a,writeByteArray
179251_a,readByteArray
179252_a,writeUniqueId
179253_g,readUniqueId
179254_b,writeVarLong
179255_a,writeBlockPos
179256_a,writeTextComponent
179257_a,readEnumValue
179258_d,readTextComponent
179259_c,readBlockPos
179260_f,readVarLong
179281_c,getValue
179289_a,setCompressionThreshold
179290_a,sendPacket
179291_h,hasNoChannel
179292_f,isEncrypted
179293_l,handleDisconnection
179299_a,setCompressionThreshold
179303_a,setCompressionThreshold
179326_d,getName
179327_a,getPartMask
179329_c,getPartName
179413_d,getZ
179414_a,writeToNBT
179415_b,getX
179416_c,getY
179462_f,notifyHurt
179479_b,setExecutionChance
179480_f,makeUpdate
179487_f,getIsAboveDestination
179488_a,shouldMoveTo
179489_g,searchForDestination
179512_a,getAttackReachSqr
179518_a,random
179524_a,getOffset
179532_b,getRemainingItems
179543_a,getChildTag
179545_c,areItemsEqual
179548_a,onBlockDestroyed
179677_a,checkForStuck
179679_a,getPathFinder
179680_a,getPathToPos
179683_a,isSafeToStandAt
179685_e,setAvoidSun
179686_g,getEnterDoors
179687_p,getPathablePosY
179688_b,setBreakDoors
179692_b,isPositionClear
179697_g,isOnGround
179700_a,getHeader
179701_b,getFooter
179707_f,doesShowParticles
179712_b,getHitVec
179714_b,getFacing
179715_a,getPosition
179722_a,getPosition
179727_a,getEntity
179730_a,getProfile
179731_a,getCompressionThreshold
179734_a,setMapdataTo
179742_g,getOnGround
179744_h,isReducedDebugInfo
179746_d,getSoundPos
179750_b,isLongDistance
179767_a,getEntries
179768_b,getAction
179777_a,getSignPosition
179780_a,getEntity
179783_a,getURL
179784_b,getHash
179788_a,apply
179803_e,getFadeOutTime
179804_d,getDisplayTime
179805_b,getMessage
179806_c,getFadeInTime
179807_a,getType
179814_i,getNameTagVisibility
179819_c,getUniqueId
179821_b,getPosition
179823_a,getPos
179825_a,getBlockPosition
179827_b,getPos
179830_a,isDifficultyLocked
179831_b,getDifficulty
179834_f,getFlags
179836_c,getFacing
179837_b,getPosition
179868_d,redirectOutputToLog
179870_a,printToSYSOUT
179882_a,logString
179917_d,getX
179918_f,getZ
179919_e,getY
179920_a,setDirection
179921_a,setSpeed
179960_c,getGameMode
179961_d,getDisplayName
179962_a,getProfile
179963_b,getPing
179986_j,getInsertion
179992_g,getSelector
179994_h,getObjective
179995_g,getName
180065_d,canJump
180066_a,setCanJump
180067_c,getIsJumping
180134_f,getCombatDuration
180135_h,getFighter
180136_u,isCreativePlayer
180138_v,setIsThornsDamage
180139_w,getIsThornsDamage
180157_a,write
180158_b,read
180166_a,getRandomItem
180168_b,getAdditionalDifficulty
180169_a,calculateAdditionalDifficulty
180170_c,getClampedAdditionalDifficulty
180173_a,spawnItemStack
180174_a,dropInventoryItems
180175_a,dropInventoryItems
180176_a,dropInventoryItems
180181_b,rgb
180182_a,getRandomUUID
180183_b,rgb
180184_b,normalizeAngle
180185_a,epsilonEquals
180186_a,getPositionRandom
180187_c,getCoordinateRandom
180192_a,downloadResourcePack
180199_c,isBoolean
180237_b,tryHarvestBlock
180239_c,survivalOrAdventure
180246_b,getPosition
180248_a,scheduleHalt
180328_a,getPosition
180330_f,getZEnd
180331_a,getBlock
180332_e,getXEnd
180333_d,getZStart
180334_c,getXStart
180342_d,clearAffectedBlockPositions
180343_e,getAffectedBlockPositions
180374_a,hasModifier
180421_g,getLookPosZ
180422_f,getLookPosY
180423_e,getLookPosX
180424_b,getIsLooking
180426_a,setPositionAndRotationDirect
180427_aV,isImmuneToExplosions
180428_a,getExplosionResistance
180429_a,playStepSound
180431_b,isInvulnerableTo
180432_n,copyDataFromOld
180438_a,getNightVisionBrightness
180439_a,playEvent
180440_a,broadcastSound
180441_b,sendBlockBreakProgress
180444_a,renderStars
180450_b,renderItemAndEffectIntoGUI
180453_a,renderItemOverlayIntoGUI
180457_u,getDefaultDisplayTile
180459_n,moveDerailedMinecart
180460_a,moveAlongTrack
180461_b,canExtractItem
180462_a,canInsertItem
180463_a,getSlotsForFace
180464_a,handleEnableCompression
180465_a,moveTowards
180466_bG,handleFluidJump
180481_a,setEquipmentBasedOnDifficulty
180483_b,setEnchantmentBasedOnDifficulty
180484_a,getBlockPathWeight
180495_p,getBlockState
180501_a,setBlockState
180502_D,isBlockinHighHumidity
180507_a_,setResourcePack
180511_b,clickBlock
180512_c,onPlayerDamageBlock
180522_a,getCoordinateInfo
180532_a,addBlockHitEffects
180533_a,addBlockDestroyEffects
180610_a,isValidDragMode
180616_a,tryPlaceContainedLiquid
180632_j,setDefaultState
180633_a,onBlockPlacedBy
180635_a,spawnAsEntity
180637_b,dropXpOnBlockBreak
180641_l,getComparatorInputOverride
180647_a,getPlayerRelativeBlockHardness
180652_a,onExplosionDestroy
180655_c,animateTick
180656_a,getWeakPower
180657_a,harvestBlock
180658_a,onFallenUpon
180666_a,updateState
180669_e,computeRedstoneStrength
180670_a,canUseBonemeal
180672_a,getGrowthChance
180686_a,setFireInfo
180688_d,triggerMixEffects
180691_e,spawnParticles
180694_a,playSound
180699_d,getBlockPos
180708_a,writeGameProfile
180713_a,getTagFromJson
180714_a,writeString
180735_b,getBufferData
180755_e,getDuration
180762_c,getAction
180764_b,getAction
180777_a,randomlyRareFillWithBlocks
180780_a,getBlockState
180793_a,affectEntity
180799_ab,isInLava
181013_g,setRenderYawOffset
181015_d,setPortal
181022_b,stopUseShader
181023_a,updateTileEntities
181026_s,hasMarker
181027_m,setMarker
181029_i,resetPlayersOverlayFooterHeader
181030_a,resetFooterHeader
181033_a,canDestroyBlock
181035_ah,shouldUseNativeTransport
181037_M,getProfileProperties
181040_m,getIsHittingBlock
181041_d,isOnLAN
181057_v,getPlayers
181076_a,getFacingFromAxis
181079_c,setPos
181117_a,getFrontTopLeft
181118_d,getWidth
181119_e,getHeight
181123_a,areNBTEquals
181124_a,createNetworkManagerAndConnect
181138_a,offset
181140_a,removeEntity
181148_f,isUsingNativeTransport
181159_b,atan2
181161_i,fastInvSqrt
181162_h,frac
181535_r,getMusicTicker
181537_a,setConnectedToRealms
181538_aA,getCurrentAction
181539_aj,getFrameTimer
181540_al,isConnectedToRealms
181545_F,getSeaLevel
181552_c,getFrameColor
181553_a,blendColors
181562_a,getRenderChunkOffset
181565_a,draw
181623_g,canSpawnInBlock
181627_a,createLoadingCache
181656_b,hasNaN
181665_a,getDistanceSq
181667_k,nextVertexFormatIndex
181668_a,begin
181670_b,growBuffer
181672_a,getVertexState
181674_a,sortVertexData
181675_d,endVertex
181679_a,draw
181681_a,getTransform
181682_g,getAllTransforms
181683_a,getTransform
181687_c,hasCustomTransform
181688_b,getTransform
181701_a,getBlockPosOffset16
181719_f,getIntegerSize
181746_c,getFrames
181747_a,addFrame
181749_a,getLastIndex
181750_b,getIndex
181751_b,parseIndex
181758_c,hsvToRGB
183000_F,onlyOpsCanSetNbt
183006_b,isMovePlayerPacketInvalid
183023_f,bypassesPlayerLimit
183024_b,bypassesPlayerLimit
183026_b,bypassesPlayerLimit
183501_a,areRealmsNotificationsEnabled
184044_a,renderHotbarItem
184046_j,getBossOverlay
184053_e,shouldDarkenSky
184054_d,shouldPlayEndBossMusic
184055_a,read
184056_f,shouldCreateFog
184057_b,clearBossInfos
184067_a,onPlaySound
184073_g,updateMode
184074_h,nextMode
184075_a,updateGui
184076_j,updateAutoExec
184077_i,updateConditional
184098_a,handleMouseClick
184102_h,getServer
184103_al,getPlayerList
184105_a,setPlayerList
184106_y,isWorldIconSet
184107_a,applyServerIconToResponse
184108_a,getSpawnRadius
184109_z,getWorldIconFile
184113_aK,loadResourcePackSHA
184117_aA,processKeyBinds
184119_a,storeTEInStack
184121_ak,getRenderPartialTicks
184123_d,getVersionType
184125_al,getBlockColors
184126_aj,getDataFixer
184133_a,playSound
184134_a,playSound
184135_a,sendPacketToServer
184138_a,notifyBlockUpdate
184141_c,getGroundAboveSeaLevel
184148_a,playSound
184153_a,animateTick
184156_a,playSound
184163_y,getStructureTemplateManager
184167_a,setSuccessCount
184172_bi,getAdjustedHorizontalFacing
184173_H,decrementTimeUntilPortal
184176_by,getSoundCategory
184177_bl,getRenderBoundingBox
184178_b,addTrackingPlayer
184179_bs,getControllingPassenger
184181_aa,getSplashSound
184182_bu,getRecursivePassengers
184183_bd,getRenderDistanceWeight
184184_Z,getSwimSound
184185_a,playSound
184186_bw,canPassengerSteer
184187_bx,getRidingEntity
184188_bt,getPassengers
184190_l,applyOrientationToEntity
184191_r,isOnSameTeam
184192_z,getPushReaction
184193_aE,getArmorInventoryList
184194_a,isOnScoreboardTeam
184195_f,setGlowing
184196_w,isPassenger
184197_b,removeTag
184198_c,writeUnlessRemoved
184199_a,applyPlayerInteraction
184200_o,addPassenger
184201_a,setItemStackToSlot
184203_c,removeTrackingPlayer
184205_a,startRiding
184206_a,notifyDataManagerChange
184207_aI,isBeingRidden
184208_bv,getLowestRidingEntity
184209_aF,getEquipmentAndArmor
184210_p,stopRiding
184211_a,addTag
184212_Q,getDataManager
184213_bq,ignoreItemEntityData
184214_aD,getHeldEquipment
184215_y,isRidingOrBeingRiddenBy
184216_O,getTags
184217_a,getMirroredYaw
184218_aH,isPassenger
184219_q,canFitPassenger
184220_m,startRiding
184221_a,setUniqueId
184222_aU,canChangeDimension
184223_x,isRidingSameEntity
184224_h,setInvulnerable
184225_p,removePassenger
184226_ay,removePassengers
184227_b,setRenderDistanceWeight
184228_n,canBeRidden
184229_a,getRotatedYaw
184230_a,processInitialInteract
184231_a,updateFallState
184232_k,updatePassenger
184249_c,setConditionMet
184250_a,setPowered
184251_i,getMode
184252_d,setSendToClient
184253_b,setAuto
184254_e,isAuto
184255_d,isPowered
184256_g,isConditionMet
184257_h,isSendToClient
184258_j,isConditional
184263_a,create
184264_v,getMinecartType
184279_f,isBeaconEffect
184281_d,fillWithLoot
184282_c,checkLootAndWrite
184283_b,checkLootAndRead
184288_f,addLoot
184289_a,setLootTable
184293_a,setProfileCache
184294_a,setSessionService
184295_a,getAnimationProgress
184313_a,shouldRenderFace
184320_e,getExtendedProgress
184322_i,moveCollidedEntities
184323_a,handleMoveVehicle
184324_a,handleCooldown
184325_a,handleUpdateBossInfo
184326_a,processChunkUnload
184327_a,handleSoundEffect
184328_a,handleSetPassengers
184329_a,handleCustomSound
184330_a,handlePlayerPosLook
184337_a,processTryUseItemOnBlock
184338_a,processVehicleMove
184339_a,processConfirmTeleport
184340_a,processSteerBoat
184341_b,isMoveVehiclePacketInvalid
184342_d,captureCurrentPosition
184364_b,getSound
184365_d,getCategory
184366_a,createAccessor
184370_a,music
184371_a,master
184372_a,record
184373_n,createWorldIcon
184376_a,notifyBlockUpdate
184377_a,playRecord
184382_g,getRenderedChunks
184384_n,hasNoChunkUpdates
184389_a,getModelForState
184391_a,renderItemAndEffectIntoGUI
184393_a,getItemModelWithOverrides
184398_a,getAccessor
184399_a,setSoundLevel
184400_b,removeListener
184402_a,addListener
184404_a,setName
184405_a,setMode
184406_a,setIgnoresEntities
184408_a,setRotation
184409_c,setSize
184410_b,setMetadata
184411_a,setMirror
184414_b,setPosition
184415_a,filterRelatedCornerBlocks
184416_a,calculateEnclosingBoundingBox
184417_l,detectSize
184418_a,getNearbyCornerBlocks
184419_m,save
184429_b,getSlotFor
184430_d,pickItem
184431_b,stackEqualExact
184433_k,getBestHotbarSlot
184434_a,setPickedItemStack
184435_e,isHotbar
184436_a,canMergeStacks
184437_d,deleteStack
184438_a,getDestroySpeed
184441_l,getBoatGlide
184442_a,updateInputs
184443_x,controlBoat
184444_v,getUnderwaterStatus
184445_a,setPaddleState
184446_u,checkInWater
184447_s,tickLerp
184448_a,getRowingTime
184449_t,getBoatStatus
184450_w,updateMotion
184451_k,getWaterLevelAbove
184453_r,getBoatType
184454_a,applyYawToEntity
184455_j,getItemBoat
184457_a,getPaddleState
184458_a,setBoatType
184481_a,setOwner
184482_a,setColor
184483_a,setRadius
184484_a,setPotion
184485_d,setWaitTime
184486_b,setDuration
184487_c,setRadiusPerTick
184488_a,setIgnoreRadius
184489_o,getDuration
184490_j,getRadius
184492_k,getColor
184494_w,getOwner
184495_b,setRadiusOnUse
184496_a,addEffect
184497_n,shouldIgnoreRadius
184514_c,xpToDurability
184515_b,durabilityToXp
184516_a,setBeamTarget
184517_a,setShowBottom
184518_j,getBeamTarget
184519_a,onCrystalDestroyed
184520_k,shouldShowBottom
184523_o,playPlaceSound
184527_k,bringInHookedEntity
184530_a,setOrigin
184531_j,getOrigin
184534_a,setFuse
184535_k,getFuseDataManager
184536_l,getFuse
184542_a,extinguishFires
184543_l,getItem
184544_n,isLingering
184548_a,arrowHit
184550_j,getArrowStack
184555_a,setPotionEffect
184556_b,spawnPotionParticles
184557_n,getColor
184558_a,addEffect
184564_k,isFireballFiery
184568_a,setDirection
184569_a,selectNextMoveDirection
184581_c,playHurtSound
184582_a,getItemStackFromSlot
184583_d,canBlockDamageSource
184585_cz,isActiveItemStackBlocking
184586_b,getHeldItem
184587_cr,isHandActive
184588_d,getFallSound
184590_k,damageShield
184591_cq,getPrimaryHand
184592_cb,getHeldItemOffhand
184593_a,areAllPotionsAmbient
184594_b,frostWalk
184596_c,removeActivePotionEffect
184597_cx,stopActiveHand
184598_c,setActiveHand
184599_cB,getTicksElytraFlying
184600_cs,getActiveHand
184601_bQ,getHurtSound
184602_cy,resetActiveHand
184603_cC,canBeHitWithPotion
184604_a,canGoThroughtTrapDoorOnLadder
184605_cv,getItemInUseCount
184606_a_,playEquipSound
184607_cu,getActiveItemStack
184608_ct,updateActiveHand
184609_a,swingArm
184611_a,setHeldItem
184612_cw,getItemInUseMaxCount
184613_cA,isElytraFlying
184614_ca,getHeldItemMainhand
184615_bR,getDeathSound
184616_r,updateElytra
184636_a,getArmorByChance
184638_cS,isLeftHanded
184639_G,getAmbientSound
184640_d,getSlotForItemStack
184641_n,setLeftHanded
184642_a,setDropChance
184643_a,getPathPriority
184644_a,setPathPriority
184646_p,setMoveStrafing
184647_J,getLootTable
184648_b,isItemStackInSlot
184649_cE,getHorizontalFaceSpeed
184650_s,createBodyController
184651_r,registerGoals
184652_a,canBeLeashedTo
184663_l,getNearestPpIdx
184664_cU,getFightManager
184665_a,getHeadLookVec
184666_a,findPath
184667_a,getHeadPartYOffset
184668_a,dropExperience
184669_a,makePath
184670_cT,getPhaseManager
184671_o,initPathPoints
184672_a,onCrystalDestroyed
184684_db,getPeekTick
184686_df,isClosed
184688_a,getClientPeekAmount
184689_o,tryTeleportToNewPosition
184691_a,updateArmorModifier
184692_dd,getOldAttachPos
184693_dc,getClientTeleportInterp
184694_g,setAttachmentPos
184696_cZ,getAttachmentFacing
184697_de,isAttachedToBlock
184699_da,getAttachmentPos
184709_cY,getSquishSound
184710_cZ,getJumpSound
184730_o,isDrinkingPotion
184747_a,setPumpkinEquipped
184748_o,isPumpkinEquipped
184753_b,getOwnerId
184754_b,setOwnerId
184762_da,boost
184770_cZ,startJumping
184771_da,getJumpSound
184775_b,handleStartJump
184776_b,canJump
184777_r_,handleStopJump
184779_b,setOwnerUniqueId
184780_dh,getOwnerUniqueId
184785_dv,getAngrySound
184796_b,isDisabled
184797_a,setBit
184809_a,openMinecartCommandBlock
184810_cG,spawnSweepParticles
184811_cZ,getCooldownTracker
184812_l_,isCreative
184813_a,getDigSpeed
184814_a,openBook
184815_l,createCooldownTracker
184817_da,getLuck
184818_cX,getCooldownPeriod
184819_a,setPrimaryHand
184820_o,updateCape
184821_cY,resetCooldown
184824_a,openCommandBlock
184825_o,getCooledAttackStrength
184826_a,openHorseInventory
184833_s,isPlayerInfoSet
184834_t,getLocationElytra
184838_M,isRowingBoat
184839_n,setPermissionLevel
184840_I,getPermissionLevel
184846_L,clearInvulnerableDimensionChange
184848_d,addEntity
184849_a,updateScorePoints
184850_K,isInvulnerableDimensionChange
184876_a,getCoordinateInfo
184979_a,byId
184980_a,getName
184981_a,getTypeFromString
184993_a,setNextSpawnData
184994_d,getCachedEntity
184996_a,slotClick
185004_b_,isValidBrewingFuel
185054_a,appendHoverTextFromTileEntityTag
185059_b,getArrowVelocity
185061_a,turnBottleIntoItem
185063_a,scaleMap
185069_d,isUsable
185074_a,getBySound
185075_h,getSound
185083_B_,getEquipmentSlot
185119_l,getHorizontalAngle
185129_a,addAttributeModifier
185132_d,areItemsEqualIgnoreDurability
185136_b,isItemEqualIgnoreDurability
185140_b,notifyOnSet
185141_a,hasCooldown
185142_b,removeCooldown
185143_a,getCooldown
185144_a,tick
185145_a,setCooldown
185146_c,notifyOnRemove
185168_a,getPotionTypeForName
185170_a,getEffects
185172_c,hasInstantEffect
185174_b,getNamePrefixed
185181_a,getPotionColorFromEffectList
185182_a,addPotionTooltip
185183_a,getPotionColor
185184_a,appendEffects
185185_a,getEffectsFromTag
185186_a,mergeEffects
185187_c,getPotionTypeFromNBT
185188_a,addPotionToItemStack
185189_a,getEffectsFromStack
185190_b,getFullEffectsFromItem
185191_c,getPotionFromItem
185192_b,getFullEffectsFromTag
185193_a,addCustomPotionEffectToList
185203_b,isItemConversionReagent
185205_a,isReagent
185206_b,hasItemConversions
185207_a,init
185208_a,hasConversions
185209_c,hasTypeConversions
185211_c,isTypeConversionReagent
185212_d,doReaction
185261_e,isTreasureEnchantment
185262_c,getEnchantmentByID
185266_a,freezeNearby
185270_a,getWeight
185277_b,getNbt
185278_a,toCompoundTag
185282_a,removeIncompatible
185283_h,getLootingModifier
185284_a,getMaxEnchantmentLevel
185287_i,hasAquaAffinity
185291_a,getEnchantmentDatas
185292_c,getRespirationModifier
185293_e,getEfficiencyModifier
185294_d,getDepthStriderModifier
185315_c,getEnchantIncreasePerLevel
185316_b,getMinimalEnchantability
185328_a,parseGameTypeWithDefault
185329_a,parseGameTypeWithDefault
185334_h,toImmutable
185336_p,setY
185355_j,getDepth
185360_m,getScale
185361_o,getWaterColor
185471_a,mirror
185473_a,getItem
185499_a,rotate
185507_b,playClickOnSound
185508_c,playClickOffSound
185524_e,getAgeProperty
185525_y,isMaxAge
185526_g,getMaxAge
185527_x,getAge
185528_e,withAge
185529_b,getBonemealAgeIncrease
185545_A,isAlternateInput
185546_B,isDiode
185592_b,updateConnectedRails
185601_a,growTreeRecursive
185602_a,placeGrownFlower
185603_a,generatePlant
185604_a,areAllNeighborsEmpty
185605_c,placeDeadFlower
185616_e,checkPressed
185646_a,canPush
185654_e,getCloseSound
185655_g,getOpenSound
185661_e,getOrCreatePortalShape
185698_b,getSlopeFindDistance
185704_d,isDifferentStairs
185709_i,isBlockStairs
185731_a,playSound
185759_i,canFallThrough
185800_a,toRotation
185802_a,mirrorRotation
185803_b,mirror
185830_a,add
185831_a,rotate
185833_a,rotate
185841_e,getPlaceSound
185842_g,getFallSound
185843_a,getVolume
185844_d,getStepSound
185845_c,getBreakSound
185846_f,getHitSound
185847_b,getPitch
185887_b,getBlockHardness
185888_a,getComparatorInputOverride
185893_b,getStrongPower
185897_m,canProvidePower
185901_i,getRenderType
185902_a,mirror
185903_a,getPlayerRelativeBlockHardness
185904_a,getMaterial
185905_o,getPushReaction
185906_d,getLightValue
185907_a,rotate
185909_g,getMaterialColor
185911_a,getWeakPower
185912_n,hasComparatorInputOverride
185920_a,getProperty
185922_a,getFingerLength
185927_a,matches
185929_b,parseValue
186009_b,write
186010_a,read
186011_b,getIndex
186012_b,setBits
186014_b,set
186015_a,get
186016_a,get
186018_a,getSerializedSize
186031_y,getLastExtendedBlockStorage
186037_b,write
186038_a,read
186039_a,get
186040_a,getSerializedSize
186041_a,idFor
186049_g,getData
186067_c,getSuffix
186079_a,process
186087_f,resetSpikeCrystals
186088_a,write
186089_a,generateGateway
186090_a,onCrystalDestroyed
186091_h,findExitPortal
186092_c,getNumAliveCrystals
186093_a,respawnDragon
186094_a,generatePortal
186095_a,setRespawnState
186096_a,processDragonDeath
186097_l,spawnNewGateway
186099_b,dragonUpdate
186100_j,updatePlayers
186101_k,findAliveCrystals
186102_d,hasPreviouslyKilledDragon
186105_b,tick
186106_e,tryRespawnDragon
186148_c,getRadius
186149_d,getHeight
186150_e,isGuarded
186151_a,getCenterX
186152_b,getCenterZ
186153_f,getTopBoundingBox
186154_a,doesStartInChunk
186161_c,getComponents
186164_a,setCoordBaseMode
186165_e,getCoordBaseMode
186167_a,generateChest
186173_a,setup
186175_a,handleDataMarker
186184_a,init
186212_b,getMirror
186213_g,getBoundingBox
186214_a,setMirror
186215_c,getRotation
186216_b,getBoundingBoxFromChunk
186217_a,copy
186218_a,setChunk
186220_a,setRotation
186221_e,getIgnoreEntities
186222_a,setIgnoreEntities
186223_a,setBoundingBox
186224_i,setBoundingBoxFromChunk
186252_a,setAuthor
186254_a,takeBlocksFromWorld
186255_a,takeEntitiesFromWorld
186256_b,read
186257_a,transformedSize
186259_a,getSize
186261_b,getAuthor
186262_a,calculateConnectedPos
186264_a,writeDoubles
186266_a,transformedBlockPos
186267_a,writeInts
186274_m,getPushReaction
186282_b,createFromBuffer
186283_a,cloneMove
186289_a,getPriority
186309_a,setPoint
186311_b,read
186316_c,setCanSwim
186317_a,setCanEnterDoors
186318_b,getStart
186319_a,determineNodeType
186321_b,setCanOpenDoors
186322_e,getCanSwim
186323_c,getCanEnterDoors
186324_d,getCanOpenDoors
186327_c,isFree
186328_b,getWaterNode
186329_a,getNodeType
186330_a,getFloorNodeType
186332_a,getSafePoint
186355_l,markVersionInList
186356_m,askToOpenWorld
186361_a,getEffectiveWeight
186373_a,register
186375_a,register
186459_a,getEmptySlotsRandomized
186463_a,shuffleItems
186469_a,withLuck
186482_a,fromString
186490_b,removeLootTable
186491_f,getLuck
186496_a,addLootTable
186507_b,generateFloat
186509_a,getMin
186510_a,isInRange
186511_a,generateInt
186512_b,getMax
186521_a,getLootTableFromLocation
186530_b,deserialize
186586_a,deserialize
186592_a,serialize
186631_a,entityScoreMatch
186662_g,grow
186664_h,shrink
186668_a,intersects
186670_a,offset
186678_a,scale
186679_c,squareDistanceTo
186681_k,getCollisionRule
186682_a,setCollisionRule
186684_a,addDirtyRunnable
186686_a,getByName
186704_a,updateKeyBindState
186711_a,getSoundLevel
186712_a,setSoundLevel
186722_a,register
186723_a,init
186728_a,getColor
186729_a,init
186734_i,shouldDarkenSky
186735_a,setPercent
186736_g,getColor
186737_d,getUniqueId
186738_f,getPercent
186739_a,setName
186740_h,getOverlay
186741_a,setDarkenSky
186742_b,setPlayEndBossMusic
186743_c,setCreateFog
186744_e,getName
186745_a,setColor
186746_a,setOverlay
186747_j,shouldPlayEndBossMusic
186748_k,shouldCreateFog
186757_c,getPlayers
186758_d,setVisible
186759_a,sendUpdate
186760_a,addPlayer
186761_b,removePlayer
186765_a,updateFromPacket
186796_g,getGuiWorldSelection
186801_a,getRandom
186804_a,size
186805_c,getValue
186806_e,findEmpty
186807_d,grow
186808_c,add
186809_c,nextId
186810_b,size
186811_d,hashObject
186812_a,clear
186814_a,put
186816_b,getIndex
186823_a,refresh
186825_b,getStartTime
186826_c,getLocation
186854_a,putUniqueId
186855_b,hasUniqueId
186856_d,size
186857_a,getUniqueId
186858_c,getInt
186859_a,writeBlockPos
186860_b,readUniqueId
186861_c,readBlockPos
186863_b,readVarIntArray
186865_a,writeLongArray
186873_b,readLongArray
186875_a,writeVarIntArray
186879_b,getUniqueId
186880_c,getX
186881_e,getZ
186882_d,getY
186884_d,getZ
186885_b,getX
186886_c,getY
186890_c,getUniqueId
186891_e,getX
186892_f,getY
186893_g,getZ
186895_b,getUniqueId
186897_e,getY
186898_d,getX
186899_f,getZ
186900_e,getColor
186901_i,shouldCreateFog
186902_b,getOperation
186903_a,setFlags
186904_f,getOverlay
186905_j,getFlags
186906_d,getPercent
186907_c,getName
186908_a,getUniqueId
186909_g,shouldDarkenSky
186910_h,shouldPlayEndBossMusic
186920_a,getItem
186922_b,getTicks
186925_e,getZ
186926_d,getY
186927_f,getVolume
186928_g,getPitch
186929_b,getCategory
186932_c,getX
186940_a,getX
186941_b,getZ
186945_f,getWriteBuffer
186946_a,getReadBuffer
186951_c,getZ
186952_a,getX
186953_b,getY
186955_b,getY
186956_c,getZ
186957_a,getX
186958_e,getPitch
186959_d,getYaw
186965_f,getTeleportId
186967_a,getEntity
186968_a,getPotion
186971_a,getPassengerIds
186972_b,getEntityId
186975_j,getCollisionRule
186977_b,getCategory
186978_a,getSound
186981_d,getZ
186982_b,getX
186983_c,getY
186984_g,getIsAmbient
186987_a,getTeleportId
186991_f,getMainHand
186993_f,getClickType
186994_b,getHand
186996_b,getY
186997_a,getX
186998_b,getPitch
186999_a,getYaw
187000_c,getZ
187002_b,getY
187003_c,getZ
187004_a,getX
187005_e,getPitch
187006_d,getYaw
187012_a,getLeft
187014_b,getRight
187017_b,getLines
187018_a,getHand
187022_c,getHand
187028_a,getHand
187040_a,pack
187042_a,getMask
187043_b,isSet
187044_a,unpack
187052_a,getAssetsIndex
187056_a,makePaddle
187074_a,getArmForSide
187097_a,interactWithEntity
187098_a,windowClick
187100_a,pickItem
187101_a,processRightClick
187102_a,interactWithEntity
187103_a,onPlayerDestroyBlock
187106_i,getLocationElytra
187108_a,setBoundingBox
187109_b,setPosition
187110_a,move
187112_i,setExpired
187113_k,isAlive
187114_a,setMaxAge
187115_a,setSize
187116_l,getBoundingBox
187118_j,resetPositionToBB
